exercise_id,lesson_id,vocabulary_id,question,current_options,current_answer,vocabulary_word,vocabulary_meaning,expected_correct_option,status,confidence,reason
"47aa6da7a2a05dae7b309f14","fc0d8f32da5df1f456954383","69cf8a5254ac00d7f7458632","Từ tiếng Đức nào có nghĩa là “Bệnh viện”?","[""das Krankenhaus"",""der Arzt"",""der Krankenpfleger"",""gesund""]","{""correct_option"":""das Krankenhaus"",""explanation"":""das Krankenhaus = Bệnh viện""}","das Krankenhaus","Bệnh viện","das Krankenhaus","VALID","HIGH","Already adheres to canonical schema"
"303f10c945f336c214bbe9bf","fc0d8f32da5df1f456954383","69cf8a5254ac00d7f7458639","Từ tiếng Đức nào có nghĩa là “Điều dưỡng viên”?","[""krank"",""der Schmerz, -en"",""der Krankenpfleger"",""gesund""]","{""correct_option"":""der Krankenpfleger"",""explanation"":""der Krankenpfleger = Điều dưỡng viên""}","der Krankenpfleger","Điều dưỡng viên","der Krankenpfleger","VALID","HIGH","Already adheres to canonical schema"
"09042087836d8185d495b24f","477ffc7186b53f902e47d536","69cf8a5254ac00d7f7458762","Từ tiếng Đức nào có nghĩa là “Khỏe mạnh”?","[""der Krankenpfleger"",""krank"",""gesund"",""der Arzt""]","{""correct_option"":""gesund"",""explanation"":""gesund = Khỏe mạnh""}","gesund","Khỏe mạnh","gesund","VALID","HIGH","Already adheres to canonical schema"
"8fcc561e2b0d0c9479401b12","f3773f4764322d408da25d02","69cf8a5254ac00d7f7458632","Từ tiếng Đức nào có nghĩa là “Bệnh viện”?","[""die Krankheit, -en"",""die Apotheke, -n"",""das Krankenhaus"",""der Schmerz, -en""]","{""correct_option_index"":2}","das Krankenhaus","Bệnh viện","das Krankenhaus","AUTO_FIX","HIGH","Word ""das Krankenhaus"" found in options. Can standardize answer schema."
"a009b1af73a875337bd3e9dd","0bfa9269456dc67bcbaa020e","69cf8a5254ac00d7f74588a0","Từ tiếng Đức nào có nghĩa là “cơ thể”?","[""der Körper, -"",""der Kopf, -ö,e"",""die Hand, -ä,e"",""der Arm, -e""]","{""correct_option"":""der Körper, -"",""explanation"":""der Körper, - = cơ thể""}","der Körper, -","cơ thể","der Körper, -","VALID","HIGH","Already adheres to canonical schema"
"5f0bcab3c50c0f5af4d3cf87","0bfa9269456dc67bcbaa020e","69cf8a5254ac00d7f74588a5","Từ tiếng Đức nào có nghĩa là “cánh tay”?","[""das Auge, -n"",""der Arm, -e"",""der Fuß, - ü,e"",""das Bein, -e""]","{""correct_option"":""der Arm, -e"",""explanation"":""der Arm, -e = cánh tay""}","der Arm, -e","cánh tay","der Arm, -e","VALID","HIGH","Already adheres to canonical schema"
"142536e10cb04e6fc6015503","693e8098db6238d486199b77","69cf8a5254ac00d7f74588ae","Từ tiếng Đức nào có nghĩa là “mắt”?","[""das Auge, -n"",""die Hand, -ä,e"",""der Arm, -e"",""der Fuß, - ü,e""]","{""correct_option_index"":0}","das Auge, -n","mắt","das Auge, -n","AUTO_FIX","HIGH","Word ""das Auge, -n"" found in options. Can standardize answer schema."
"e68260d1584e25f730818b82","f92dd54111310beac6d0cb03","69cf8a5254ac00d7f74588a0","Từ tiếng Đức nào có nghĩa là “cơ thể”?","[""der Arm, -e"",""der Fuß, - ü,e"",""das Bein, -e"",""der Körper, -""]","{""correct_option"":""der Körper, -"",""explanation"":""der Körper, - = cơ thể""}","der Körper, -","cơ thể","der Körper, -","VALID","HIGH","Already adheres to canonical schema"
"a7ac6cc76565cb43a6d5b1b6","1da077a4c95ad8ba4f0de2cf","69cf8a5254ac00d7f74586dc","Từ tiếng Đức nào có nghĩa là “Mùa xuân”?","[""der Sommer"",""der Winter"",""der Herbst"",""der Frühling""]","{""correct_option_index"":2}","der Frühling","Mùa xuân","der Frühling","AUTO_FIX","HIGH","Word ""der Frühling"" found in options. Can standardize answer schema."
"1684695fc3d100b4a9d440ac","056ed7b76a8c85ad8c593568","69cf8a5254ac00d7f7458727","Từ tiếng Đức nào có nghĩa là “Tiệm bánh”?","[""die Bäckerei"",""kaufen"",""der Einkaufswagen"",""der Preis""]","{""correct_option_index"":0}","die Bäckerei","Tiệm bánh","die Bäckerei","AUTO_FIX","HIGH","Word ""die Bäckerei"" found in options. Can standardize answer schema."
"bc6b59fa2e0db1f3523d6207","f1030646b56258c318adeabf","69cf8a5254ac00d7f7458735","Từ tiếng Đức nào có nghĩa là “Xe đẩy mua hàng”?","[""die Bäckerei"",""kaufen"",""der Preis"",""der Einkaufswagen""]","{""correct_option"":""der Einkaufswagen"",""explanation"":""der Einkaufswagen = Xe đẩy mua hàng""}","der Einkaufswagen","Xe đẩy mua hàng","der Einkaufswagen","VALID","HIGH","Already adheres to canonical schema"
"e00f99d70bfeec9393572022","a42ad837e259691f48f99576","69cf8a5254ac00d7f7458727","Từ tiếng Đức nào có nghĩa là “Tiệm bánh”?","[""der Euro"",""teuer"",""die Bäckerei"",""der Markt""]","{""correct_option_index"":2}","die Bäckerei","Tiệm bánh","die Bäckerei","AUTO_FIX","HIGH","Word ""die Bäckerei"" found in options. Can standardize answer schema."
"335a2b0eb15db882a355ee9c","efb72ad511285965f348bfde","69cf8a5254ac00d7f745862d","Từ tiếng Đức nào có nghĩa là “Công việc, nghề nghiệp”?","[""der Kollege"",""arbeiten"",""die Firma"",""der Beruf""]","{""correct_option"":""der Beruf"",""explanation"":""der Beruf = Công việc, nghề nghiệp""}","der Beruf","Công việc, nghề nghiệp","der Beruf","VALID","HIGH","Already adheres to canonical schema"
"736fa0ea34cbf7bfaa03d4f1","ff45f6a09b14d343c44c350f","69cf8a5254ac00d7f7458633","Từ tiếng Đức nào có nghĩa là “Thợ cắt tóc”?","[""der Beruf"",""der Friseur"",""der Kollege"",""arbeiten""]","{""correct_option"":""der Friseur"",""explanation"":""der Friseur = Thợ cắt tóc""}","der Friseur","Thợ cắt tóc","der Friseur","VALID","HIGH","Already adheres to canonical schema"
"6a46435598a28ed59d4e8896","0236a77d8b83ed31df0f743a","69cf8a5254ac00d7f745863e","Từ tiếng Đức nào có nghĩa là “Thầy giáo”?","[""der Lehrer"",""der Kurs"",""die Studentin"",""die Universität""]","{""correct_option"":""der Lehrer"",""explanation"":""der Lehrer = Thầy giáo""}","der Lehrer","Thầy giáo","der Lehrer","VALID","HIGH","Already adheres to canonical schema"
"e0adf4603f3b237e7775ba0f","798690d1bfc1eacb6f682914","69cf8a5254ac00d7f745863f","Từ tiếng Đức nào có nghĩa là “Trường học”?","[""die Studentin"",""die Universität"",""die Hausaufgabe"",""die Schule""]","{""correct_option"":""die Schule"",""explanation"":""die Schule = Trường học""}","die Schule","Trường học","die Schule","VALID","HIGH","Already adheres to canonical schema"
"70228e264ba61ff39cf0f388","2a328956470e73b6e0f6fb1a","69cf8a5254ac00d7f7458924","Từ tiếng Đức nào có nghĩa là “ghế”?","[""der Stuhl, -ü,e"",""das Bad, -ä,er"",""die Tür, -en"",""das Einzelzimmer, -""]","{""correct_option"":""der Stuhl, -ü,e"",""explanation"":""der Stuhl, -ü,e = ghế""}","der Stuhl, -ü,e","ghế","der Stuhl, -ü,e","VALID","HIGH","Already adheres to canonical schema"
"4d37ea64856cf5d12b0eef0c","31af0f910b7db0708dd982b1","69cf8a5254ac00d7f745861e","Từ tiếng Đức nào có nghĩa là “Rạp chiếu phim”?","[""spielen"",""fotografieren"",""das Kino"",""der Fußball""]","{""correct_option"":""das Kino"",""explanation"":""das Kino = Rạp chiếu phim""}","das Kino","Rạp chiếu phim","das Kino","VALID","HIGH","Already adheres to canonical schema"
"dbef336daf2ebe6a1ad3da87","a16ccc1734a8ce914982f72a","69cf8a5254ac00d7f7458612","Từ tiếng Đức nào có nghĩa là “Sở thích”?","[""lesen"",""tanzen"",""das Hobby"",""das Foto""]","{""correct_option"":""das Hobby"",""explanation"":""das Hobby = Sở thích""}","das Hobby","Sở thích","das Hobby","VALID","HIGH","Already adheres to canonical schema"
"5d48defb671252b84ba17268","2aafab54818ed4d128da463c","69cf8a5254ac00d7f7458603","Từ tiếng Đức nào có nghĩa là “chơi”?","[""tanzen"",""spielen"",""das Foto"",""lesen""]","{""correct_option"":""spielen"",""explanation"":""spielen = chơi""}","spielen","chơi","spielen","VALID","HIGH","Already adheres to canonical schema"
"b3623c331db8f3df88972c4b","fc0d8f32da5df1f456954383","69cf8a5254ac00d7f7458630","Từ tiếng Đức nào có nghĩa là “Bác sĩ nam”?","[""der Krankenpfleger"",""gesund"",""krank"",""der Arzt""]","{""correct_option"":""der Arzt"",""explanation"":""der Arzt = Bác sĩ nam""}","der Arzt","Bác sĩ nam","der Arzt","VALID","HIGH","Already adheres to canonical schema"
"fc0061d7d814b0a24565e477","fc0d8f32da5df1f456954383","69cf8a5254ac00d7f74587b6","Từ tiếng Đức nào có nghĩa là “Ốm”?","[""krank"",""der Schmerz, -en"",""die Krankheit, -en"",""die Apotheke, -n""]","{""correct_option"":""krank"",""explanation"":""krank = Ốm""}","krank","Ốm","krank","VALID","HIGH","Already adheres to canonical schema"
"309ab75608719dd533faedc8","62195d39c60a13d0882e42c9","69cf8a5254ac00d7f7458630","Từ tiếng Đức nào có nghĩa là “Bác sĩ nam”?","[""der Schmerz, -en"",""die Krankheit, -en"",""der Arzt"",""krank""]","{""correct_option_index"":2}","der Arzt","Bác sĩ nam","der Arzt","AUTO_FIX","HIGH","Word ""der Arzt"" found in options. Can standardize answer schema."
"309fad1cce3d8a48d1f53145","b0984236762d713d808ab854","69cf8a5254ac00d7f74588a6","Từ tiếng Đức nào có nghĩa là “bàn tay”?","[""der Körper, -"",""der Kopf, -ö,e"",""der Arm, -e"",""die Hand, -ä,e""]","{""correct_option"":""die Hand, -ä,e"",""explanation"":""die Hand, -ä,e = bàn tay""}","die Hand, -ä,e","bàn tay","die Hand, -ä,e","VALID","HIGH","Already adheres to canonical schema"
"ce4912135655ba86f88dbba9","b0984236762d713d808ab854","69cf8a5254ac00d7f74588a8","Từ tiếng Đức nào có nghĩa là “chân”?","[""das Bein, -e"",""der Arm, -e"",""der Fuß, - ü,e"",""das Auge, -n""]","{""correct_option"":""das Bein, -e"",""explanation"":""das Bein, -e = chân""}","das Bein, -e","chân","das Bein, -e","VALID","HIGH","Already adheres to canonical schema"
"43826889b4218be045a1271f","b0984236762d713d808ab854","69cf8a5254ac00d7f74588ae","Từ tiếng Đức nào có nghĩa là “mắt”?","[""der Fuß, - ü,e"",""das Bein, -e"",""die Nase, -n"",""das Auge, -n""]","{""correct_option"":""das Auge, -n"",""explanation"":""das Auge, -n = mắt""}","das Auge, -n","mắt","das Auge, -n","VALID","HIGH","Already adheres to canonical schema"
"87dbff740936f627f4ea5be1","693e8098db6238d486199b77","69cf8a5254ac00d7f74588a0","Từ tiếng Đức nào có nghĩa là “cơ thể”?","[""das Auge, -n"",""die Nase, -n"",""der Körper, -"",""das Bein, -e""]","{""correct_option_index"":0}","der Körper, -","cơ thể","der Körper, -","AUTO_FIX","HIGH","Word ""der Körper, -"" found in options. Can standardize answer schema."
"a6720ebd5e34bc6e9de705b2","f92dd54111310beac6d0cb03","69cf8a5254ac00d7f74588b0","Từ tiếng Đức nào có nghĩa là “mũi”?","[""die Nase, -n"",""der Kopf, -ö,e"",""die Hand, -ä,e"",""der Arm, -e""]","{""correct_option"":""die Nase, -n"",""explanation"":""die Nase, -n = mũi""}","die Nase, -n","mũi","die Nase, -n","VALID","HIGH","Already adheres to canonical schema"
"23b2329aae4f9b70770f5158","33b52ea0cda7c35283cbd639","69cf8a5254ac00d7f7458a6c","Từ tiếng Đức nào có nghĩa là “gió”?","[""der Herbst"",""der Regen (Sg.)"",""die Sonne (Sg.)"",""der Wind, -e""]","{""correct_option"":""der Wind, -e"",""explanation"":""der Wind, -e = gió""}","der Wind, -e","gió","der Wind, -e","VALID","HIGH","Already adheres to canonical schema"
"a01287c52b0bdd2330aa5f12","1eadda771e7935c3548002a2","69cf8a5254ac00d7f7458a6c","Từ tiếng Đức nào có nghĩa là “gió”?","[""der Wind, -e"",""der Winter"",""der Frühling"",""der Herbst""]","{""correct_option"":""der Wind, -e"",""explanation"":""der Wind, -e = gió""}","der Wind, -e","gió","der Wind, -e","VALID","HIGH","Already adheres to canonical schema"
"d9d73c02e147a5fb5d13fae8","f1030646b56258c318adeabf","69cf8a5254ac00d7f745872b","Từ tiếng Đức nào có nghĩa là “Gói hàng”?","[""teuer"",""die Bäckerei"",""die Packung"",""der Euro""]","{""correct_option"":""die Packung"",""explanation"":""die Packung = Gói hàng""}","die Packung","Gói hàng","die Packung","VALID","HIGH","Already adheres to canonical schema"
"06744d80db1c33f5a9ae0fec","a42ad837e259691f48f99576","69cf8a5254ac00d7f745873c","Từ tiếng Đức nào có nghĩa là “Giá tiền”?","[""die Packung"",""die Bäckerei"",""kaufen"",""der Preis""]","{""correct_option_index"":0}","der Preis","Giá tiền","der Preis","AUTO_FIX","HIGH","Word ""der Preis"" found in options. Can standardize answer schema."
"a59205303eaa94df7136f024","3bd43d5ff2febe702fb727dc","69cf8a5254ac00d7f7458694","Từ tiếng Đức nào có nghĩa là “Chợ”?","[""die Packung"",""die Bäckerei"",""kaufen"",""der Markt""]","{""correct_option"":""der Markt"",""explanation"":""der Markt = Chợ""}","der Markt","Chợ","der Markt","VALID","HIGH","Already adheres to canonical schema"
"4e1efc16034a423779386f8f","4600b87c8f507b4bbfcf0ca4","69cf8a5254ac00d7f7458636","Từ tiếng Đức nào có nghĩa là “Nhân viên bồi bàn”?","[""die Kellnerin"",""der Polizist"",""der Friseur"",""der Journalist""]","{""correct_option"":""die Kellnerin"",""explanation"":""die Kellnerin = Nhân viên bồi bàn""}","die Kellnerin","Nhân viên bồi bàn","die Kellnerin","VALID","HIGH","Already adheres to canonical schema"
"7d3dffb8c9a073c71e090d27","2c64eae44313170f08fad519","69cf8a5254ac00d7f7458635","Từ tiếng Đức nào có nghĩa là “Nhà báo”?","[""die Firma"",""die Kellnerin"",""der Polizist"",""der Journalist""]","{""correct_option"":""der Journalist"",""explanation"":""der Journalist = Nhà báo""}","der Journalist","Nhà báo","der Journalist","VALID","HIGH","Already adheres to canonical schema"
"0785305f52c6903e7d27e9a4","c758a88c49bcb9dac39e41cb","69cf8a5254ac00d7f74586f2","Từ tiếng Đức nào có nghĩa là “Bài kiểm tra”?","[""der Kurs"",""die Studentin"",""die Universität"",""der Test""]","{""correct_option"":""der Test"",""explanation"":""der Test = Bài kiểm tra""}","der Test","Bài kiểm tra","der Test","VALID","HIGH","Already adheres to canonical schema"
"3a8d2305e08482c9bbbce36f","741e1cc01783b0eb83ed3a7b","69cf8a5254ac00d7f7458643","Từ tiếng Đức nào có nghĩa là “Sinh viên”?","[""der Kurs"",""die Universität"",""die Studentin"",""der Test""]","{""correct_option"":""die Studentin"",""explanation"":""die Studentin = Sinh viên""}","die Studentin","Sinh viên","die Studentin","VALID","HIGH","Already adheres to canonical schema"
"b4a5f879a10cedc9091cc328","0236a77d8b83ed31df0f743a","69cf8a5254ac00d7f7458773","Từ tiếng Đức nào có nghĩa là “Thư viện”?","[""die Studentin"",""die Universität"",""die Hausaufgabe"",""die Bibliothek""]","{""correct_option"":""die Bibliothek"",""explanation"":""die Bibliothek = Thư viện""}","die Bibliothek","Thư viện","die Bibliothek","VALID","HIGH","Already adheres to canonical schema"
"c7ac6257f04678f146bee3f1","76c62f3ebccf13689fb5725d","69cf8a5254ac00d7f7458677","Từ tiếng Đức nào có nghĩa là “Phòng”?","[""das Zimmer"",""das Haus"",""wohnen"",""das Bad, -ä,er""]","{""correct_option_index"":0}","das Zimmer","Phòng","das Zimmer","AUTO_FIX","HIGH","Word ""das Zimmer"" found in options. Can standardize answer schema."
"aeb95d7caa924ced8090e559","2a328956470e73b6e0f6fb1a","69cf8a5254ac00d7f74585c2","Từ tiếng Đức nào có nghĩa là “sinh sống, ở”?","[""das Zimmer"",""das Haus"",""das Bad, -ä,er"",""wohnen""]","{""correct_option"":""wohnen"",""explanation"":""wohnen = sinh sống, ở""}","wohnen","sinh sống, ở","wohnen","VALID","HIGH","Already adheres to canonical schema"
"b63f2ae718f8d1898b47616b","f54b8b06964ef22838d6fef7","69cf8a5254ac00d7f74588f7","Từ tiếng Đức nào có nghĩa là “chung cư”?","[""das Bad, -ä,er"",""die Tür, -en"",""der Stuhl, -ü,e"",""die Wohnung, -en""]","{""correct_option_index"":0}","die Wohnung, -en","chung cư","die Wohnung, -en","AUTO_FIX","HIGH","Word ""die Wohnung, -en"" found in options. Can standardize answer schema."
"dc356e5b6c0c8705c1dda896","a476be25bb771bfa0e3f712b","69cf8a5254ac00d7f7458a42","Từ tiếng Đức nào có nghĩa là “phòng đơn (1 giường)”?","[""wohnen"",""das Einzelzimmer, -"",""das Zimmer"",""das Haus""]","{""correct_option"":""das Einzelzimmer, -"",""explanation"":""das Einzelzimmer, - = phòng đơn (1 giường)""}","das Einzelzimmer, -","phòng đơn (1 giường)","das Einzelzimmer, -","VALID","HIGH","Already adheres to canonical schema"
"ab49a8d5e19dbd1661dd384a","a476be25bb771bfa0e3f712b","69cf8a5254ac00d7f74585c2","Từ tiếng Đức nào có nghĩa là “sinh sống, ở”?","[""die Wohnung, -en"",""wohnen"",""der Stuhl, -ü,e"",""das Einzelzimmer, -""]","{""correct_option"":""wohnen"",""explanation"":""wohnen = sinh sống, ở""}","wohnen","sinh sống, ở","wohnen","VALID","HIGH","Already adheres to canonical schema"
"8661dc1309280f5f39427e4a","3daf85d57c31eabd57105871","69cf8a5254ac00d7f7458624","Từ tiếng Đức nào có nghĩa là “chụp ảnh”?","[""fotografieren"",""das Foto"",""lesen"",""tanzen""]","{""correct_option"":""fotografieren"",""explanation"":""fotografieren = chụp ảnh""}","fotografieren","chụp ảnh","fotografieren","VALID","HIGH","Already adheres to canonical schema"
"a020ccac6e4cd2d441ab4c8e","a16ccc1734a8ce914982f72a","69cf8a5254ac00d7f7458625","Từ tiếng Đức nào có nghĩa là “Ảnh, bức ảnh”?","[""das Kino"",""das Foto"",""der Fußball"",""spielen""]","{""correct_option"":""das Foto"",""explanation"":""das Foto = Ảnh, bức ảnh""}","das Foto","Ảnh, bức ảnh","das Foto","VALID","HIGH","Already adheres to canonical schema"
"e2364d53a835a1f8fe1d758e","2aafab54818ed4d128da463c","69cf8a5254ac00d7f7458612","Từ tiếng Đức nào có nghĩa là “Sở thích”?","[""das Kino"",""fotografieren"",""das Foto"",""das Hobby""]","{""correct_option"":""das Hobby"",""explanation"":""das Hobby = Sở thích""}","das Hobby","Sở thích","das Hobby","VALID","HIGH","Already adheres to canonical schema"
"62386e84dc14ac55ee076655","477ffc7186b53f902e47d536","69cf8a5254ac00d7f74588b7","Từ tiếng Đức nào có nghĩa là “cơn đau”?","[""der Schmerz, -en"",""gesund"",""krank"",""die Krankheit, -en""]","{""correct_option"":""der Schmerz, -en"",""explanation"":""der Schmerz, -en = cơn đau""}","der Schmerz, -en","cơn đau","der Schmerz, -en","VALID","HIGH","Already adheres to canonical schema"
"dd2143382dc40e0bacad81cf","477ffc7186b53f902e47d536","69cf8a5254ac00d7f74588c4","Từ tiếng Đức nào có nghĩa là “Bệnh”?","[""krank"",""der Schmerz, -en"",""die Apotheke, -n"",""die Krankheit, -en""]","{""correct_option"":""die Krankheit, -en"",""explanation"":""die Krankheit, -en = Bệnh""}","die Krankheit, -en","Bệnh","die Krankheit, -en","VALID","HIGH","Already adheres to canonical schema"
"d3e579f232e7e2be6850d5f7","f3773f4764322d408da25d02","69cf8a5254ac00d7f74588b7","Từ tiếng Đức nào có nghĩa là “cơn đau”?","[""gesund"",""der Schmerz, -en"",""der Arzt"",""der Krankenpfleger""]","{""correct_option_index"":0}","der Schmerz, -en","cơn đau","der Schmerz, -en","AUTO_FIX","HIGH","Word ""der Schmerz, -en"" found in options. Can standardize answer schema."
"ec16461856a7e62b8785ade0","62195d39c60a13d0882e42c9","69cf8a5254ac00d7f74588bf","Từ tiếng Đức nào có nghĩa là “tiệm thuốc”?","[""die Apotheke, -n"",""der Arzt"",""der Krankenpfleger"",""gesund""]","{""correct_option"":""die Apotheke, -n"",""explanation"":""die Apotheke, -n = tiệm thuốc""}","die Apotheke, -n","tiệm thuốc","die Apotheke, -n","VALID","HIGH","Already adheres to canonical schema"
"bac07d625e4793a03d9d4505","b0984236762d713d808ab854","69cf8a5254ac00d7f74588aa","Từ tiếng Đức nào có nghĩa là “bàn chân”?","[""das Bein, -e"",""der Fuß, - ü,e"",""die Hand, -ä,e"",""der Arm, -e""]","{""correct_option"":""der Fuß, - ü,e"",""explanation"":""der Fuß, - ü,e = bàn chân""}","der Fuß, - ü,e","bàn chân","der Fuß, - ü,e","VALID","HIGH","Already adheres to canonical schema"
"9e301029307fbd54dee6f26b","f92dd54111310beac6d0cb03","69cf8a5254ac00d7f74588a6","Từ tiếng Đức nào có nghĩa là “bàn tay”?","[""die Nase, -n"",""die Hand, -ä,e"",""das Bein, -e"",""das Auge, -n""]","{""correct_option"":""die Hand, -ä,e"",""explanation"":""die Hand, -ä,e = bàn tay""}","die Hand, -ä,e","bàn tay","die Hand, -ä,e","VALID","HIGH","Already adheres to canonical schema"
"c6a9e372ee5f2a31e554ad42","1da077a4c95ad8ba4f0de2cf","69cf8a5254ac00d7f74586de","Từ tiếng Đức nào có nghĩa là “Mùa thu”?","[""der Frühling"",""der Regen (Sg.)"",""der Herbst"",""der Winter""]","{""correct_option"":""der Herbst"",""explanation"":""der Herbst = Mùa thu""}","der Herbst","Mùa thu","der Herbst","VALID","HIGH","Already adheres to canonical schema"
